,index,Actual,Predicted,Review
0,301,0,1,"b""Shakalaka Boom Boom is a rip off from the movie Amadeus. I personally rate Amadeus as one of my favorites not only because it is about music, which is my favorite subject, but also because it tells us the real story of a musical genius who is not only remembered for the voluminous works of beautiful music he produced during his life-time, but for his own self-destructive nature and his tragic death at a young age of 35, being virtually uncelebrated during his life time because of the politics played by some people, particularly Saliere, the Italian composer, who was jealous of him.<br /><br />Personally, I was shocked to see Shakalaka.., as the director has invariably cut-pasted most of the scenes from the movie Amadeus. I see the worst kind of plagiarism in this movie and am skeptic about the kind of movies Bollywood keeps on churning day by day. The movie is a disaster, the two musicians in the movie don't give you any feeling of being realistic, the film is tasteless, meaningless and total failure on every count. The only person who makes an impact is Bobby Deol, who at least knows how to act. Otherwise, the whole cast looks like a bunch of amateurs.<br /><br />The irony is that while watching the movie, the first screen in the movie says that all characters in this movie are fictitious and that any resemblance with anyone is purely coincidental which is a blatant lie, because all resemblances are very much clear and they are very much intended. I wish I could take Darshan and Co. to court not only for Copyright Infringement, but also for mutilating a beautiful work of art."""
1,128,0,1,"b'While the new Pride & Prejudice film is gorgeous to view, and the soundtrack is lovely, we are not seeing Jane Austen\'s Pride and Prejudice. The film is for some reason set back in the early 1790\'s, rather than the Regency period where the novel is set, as scholars have long shown. The Bennets\' Longbourn estate is ram-shackled and looks like Cold Comfort Farm. Yet the Bennets in the novel are gentry class; they own a farm, but the pig does not walk through the house, nor is the farmyard of manure and chicken droppings contiguous to the home. Scenes are re-set from the novel,and lest we forget, Jane Austen placed scenes in certain locations for a reason. For example, the film puts the big Darcy proposal scene outside in a storm in front of a Neoclassical temple, as opposed to inside the Collins\' parsonage: Why did Jane Austen put it in the parsonage? Because while Lizzy and Darcy speak with total, if brutal honesty to each other in this scene, the Collinses have never shared an honest word. Why the rain and the outdoor proposal? It looks like Jane Eyre meeting Rochester! And when Elizabeth walks across a windy field to stand on a cliff and view the panorama, one expects her to cry, ""Heathcliffe"" at any minute! Austen has been Bronteized! Judy Dench is a GREAT actress, but Lady Catherine is supposed to be tall and striking. The petite Tom Hollander is a brilliant actor: but Mr. Collins is described in the novel as tall and heavy-looking, which suggests that his terrible dancing with poor Lizzy is elephantine. Matthew MacFayden is another favorite of mine from MI-5 on A&E; in P&P, however, he is more the young Heathcliffe, never smiling--though Austen observes in the novel that Darcy smiles at Lizzy quite a bit, and she realizes this when she sees his wonderful smiling portrait at Pemberley--a portrait that in this movie is for some reason replaced by a sculptured marble bust.And much of Austen\'s dialogue is changed to modern speech. Mr. Bingley has been turned into such a clown that one wonders why Darcy would have him as a friend and why Jane Bennet would love him. The bottom line is that while this is a great movie to watch and hear, it deviates from Jane Austen\'s novel so much that any student who watched it, thinking she could substitute viewing for reading, would fail!'"
2,243,0,1,"b""This disaster flick is a remake of a 1973 movie of the same title, based on a novel by Sakyo Komatsu. Japan is located right alongside the Pacific Ring of Fire (active volcanoes) and also along the edges of plate tectonics, whose shifting will cause earthquakes and tsunamis (a Japanese term in itself for tidal wave). Naturally, this makes a natural premise for a disaster picture, what with Hollywood having a field day with films like Armageddon, Deep Impact, and more recently, The Day After Tomorrow, which tackles how global warming becomes the catalyst for natural disasters gone bonkers around the world.<br /><br />But I'll have to say this: The Sinking of Japan makes all the films mentioned earlier, look like classics. This disaster movie IS a disaster, and a massive one at that. Having to look at my watch every 10-15 minutes is a signal that the movie doesn't engage, and feels than it had over-clocked its runtime.<br /><br />The special effects are gorgeous to look at. From satellite styled outer space pictures, to the vivid recreation of every conceivable natural disaster that can strike the land of the rising sun, the effects are the star of the show. However, having spectacular computer generated graphics does not in itself make a movie palatable, as too much of a good thing just plain bores.<br /><br />If you had seen the trailer where you're enticed by the effects and specific scenes of chaos and mayhem, then yes, in fact those scenes are just that. There are no details, and everything is seen from afar, in a God-like mode. Things happen just like that on screen, with nary an attempt to try and delve deeper to look at issues up close. It's akin to Godzilla knocking over buildings, and it's as if there are no humans or loss of lives through that single act. Morbid as it might sound, show us the victims! A populous nation like Japan doesn't just suffer disaster after disaster with an extremely low fatality count, not when the filmmakers unleash mayhem in such an epic scale.<br /><br />Trying to weave a romance into the movie, it stood out like a sore thumb. There are many characters in the movie, but each one of them lacking real characteristics, or humanity, and look like wandering zombies, without expression, without emotion, and definitely very stiff and unconvincing. Heroes become stuck in generic control rooms issuing statements, instructions and form policies, and react to incidents like it was a computer game, all settled with a push of a button. These are characters that you don't give a hoot about.<br /><br />If I may just use The Day After Tomorrow as a comparison, while there are terrific effects, there is at least an attempt to provide a microscopic view of the entire disaster from different individual's point of views. And infused within are plenty of action sequences, big ones like the disasters themselves, and small ones with the focus on the triumph of the human spirit, that makes it relatively compelling.<br /><br />Unfortunately for The Sinking of Japan, this movie should preferably be one to sink and tank, and hopefully undergo a short and quick death at the local box office to make way for better stuff."""
3,242,0,1,"b'This movie is very violent, yet exciting with original dialog and cool characters. It has one of the most moving stories and is very true to life. The movie start off with action star Leo Fong as a down and out cop who is approaching the end of his career, when he stumbles on to a big case that involves corruption, black mail and murder. This is where the killings start. From start finish Fong delivers in this must see action caper. This movie also co-stars Richard Roundtree.<br /><br />I really enjoyed this film as a child but as I got older I realized that this film is pretty cheesy and not very good. I would not recommend this film and the action is very, very bad.'"
4,241,0,1,"b""From the late teens to the 1920s, Stan Laurel was a solo act in films. During this time period, Laurel was definitely NOT among the upper echelons of talent and his humor isn't nearly as good as contemporaries such as Lloyd or Keaton. However, for second-tier short comedies, he did create a decent niche. As far as the quality of the films go, they varied wildly. Some, such as DR. PYCKLE AND MR. PRYDE, were terrific, whereas most were of average to below average in quality.<br /><br />FROZEN HEARTS is an odd film. Like many of the films he made for Hal Roach and distributed by Path\xc3\xa9 during this period, the costumes were absolutely first-rate and the film looked very nice. However, despite this and having support from the likes of James Finlayson, one thing they forgot to include in this film was humor. None of the jokes seem to work and the film looks almost like a drama, not a comedy. Only the really silly intertitle cards betray the type film it's supposed to be.<br /><br />My advice is try to see all his Laurel and Hardy films and then see the solo films. In addition to DR. PYCKLE, try seeing THE SOILERS and MUD AND SAND--two of his more tolerable solo shorts."""
5,133,0,1,"b""Dear Readers,<br /><br />I've found in my studies of movies that whenever Michael Bay makes a movie, people pan it and hate it, yet they still go to see it and it makes somewhere around 100 million dollars. Why? Because Michael Bay is one of the top five directors of all time. Standing alongside Ridley Scott, Spielberg, Kubrick, and Miyazaki, Michael Bay has cemented himself as Hollywood's best action/adventure director. That point is proved with his most panned film, Armageddon.<br /><br />An Asteroid the size of Texas is hurtling towards the planet and the only way NASA can think to take it down is to land a team of men on the asteroid, drill to its core, and drop a nuclear warhead inside then blow up the asteroid. Only one person is qualified enough to do it: Bruce Willis. Willis portrays Harry Stamper, a grizzled hardened oil driller trying to keep what's left of his family together. Not helping that fact is his daughter, Grace (Liv Tyler), having an affair with his best driller, AJ (Ben Affleck). Hired by Dan Truman (Billy Bob Thornton), the head of NASA, Stamper and his team of roughneck drillers train to become astronauts and save the world.<br /><br />Armageddon is a two part movie. First there's the funny parts where we meet the gang and wackiness abounds. Then they get into space and all the comedy gets sucked out the window and is replaced by mind-blowing special effects, cool music, and great serious acting. Murphy's law goes insane in the second part, meaning that everything that can go wrong, does in fact go wrong, increasing the tension of the film to outstanding levels.<br /><br />With a cool cast and crew (Michael Bay as Director, Jerry Bruckheimer and Gale Anne Hurd as Producers, and J.J. Abrams as one of the scriptwriters.), tons of special effects, great humor, awesome music, plus an intro done by Mr. Ben-Hur himself, Charlton Heston, Armageddon rocks big time.<br /><br />Signed, The Constant DVD Collector, Matt Macleod<br /><br />Parental Warnings: This is not a film for kids. The F-bomb is used a few times and lots of other swear words are used as well, plus there's a Strip bar scene and the extremely intense second part might be too hard for a kid to handle."""
6,134,0,1,"b'This film features two of my favorite guilty pleasures. Sure, the effects are laughable, the story confused, but just watching Hasselhoff in his Knight Rider days is always fun. I especially like the old hotel they used to shoot this in, it added to what little suspense was mustered. Give it a 3.'"
7,135,0,1,"b""Officially the first martial arts movie in USSR cinematography featuring actual martial artists like Tadeush Kas'yanov and Russian Bruce Lee - Talgat Nigmatullin. Bad people highjack a ship in the high seas but fortunately just about everybody on board is a trained martial artist. A collectible for martial arts aficionado."""
8,136,0,1,"b""Tonight's film course film was The Legend of the Suram Fortress and during its 87 minute running time it managed to quickly jump into my top five most difficult films of all time. That's difficult to watch; films so different to everything else that you're seeing something totally alien. A brief synopsis would be: a group of Georgians are trying to build a fortress to defend themselves from invaders, but every time they are about to put on the finishing touches, for no readily apparent reasons it collapses. So they go and see a fortune teller who advises them that if they want to get the fortress to stay standing, they need to find a youth, a tall blonde blue eyed boy to be buried into one of the walls during the construction and his presence will ensure that the construction job will be completed smoothly. And sure enough in those closing moments there he is gladly being smeared in cement and eggs, giggling as he's buried alive, with only his mother to grieve.<br /><br />It actually a fairly simple story. But the director, Sergo Paradjanov, working in Soviet Georgia in 1984, not too long after leaving a fifteen year jail term, doesn't follow any of the film making rules we are used to. There are very few close ups. Very often the action we need to be following is hidden in the bottom left hand corner of a landscape shot, extra-ordinarily easy to miss. There are very few close ups and at times its hard to tell whose doing what to whom and why. Every now and then the film goes off on digressions which have no relevance to the main plot and generally serve to confuse the viewer. The music is utterly mad, with found sounds, on screen instruments and church organ dropped in seemingly at random. At times when nothing seems to be happening, someone will break into a jig, almost playing time until the next scene comes along. But infuriatingly there is an obvious cinematic voice behind it all so you're compelled to try and understand the message whatever it is. One of those times when your eyes are glued to the screen simply because you can't believe what you're seeing."""
9,240,0,1,"b""Let me first start with the obvious: antisemitism has been a serious problem throughout history, present in many societies and causing the deaths of million of Jews. That said, the problem with this movie is that it views the United States - probably the most welcoming society ever to Jews outside of Israel - as a not very different place from Nazi Germany. Set in 1943, the movie is about a man (William H. Macy) who gets confused with a Jew after he starts wearing glasses!. A number of very nasty things happen to him after that (he loses his job and he is unable to find a new one, his neighbors shunned him, all ending up in a violent confrontation). From one of Arthur Miller's self pitying, patronizing novels, the sort that gave liberalism a bad name."""
